Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Dallas/Fort Worth International Airport,KDFW,32.8998091,-97.0403352,579.6530801,,,World Update 2 - USA,,,,
Airport,Friday Harbor Airport,KFHR,48.5248261,-123.0261848,111.4657831,,,World Update 2 - USA,,,,
Airport,Hartsfield-Jackson Atlanta International Airport,KATL,33.6407282,-84.4277001,998.9668197,,,World Update 2 - USA,,,,
Airport,New York Stewart International Airport,KSWF,41.4984032,-74.1008627,448.5391775,,,World Update 2 - USA,,,,
Building,Astoria-Megler Bridge,,46.213964,-123.861275,-4.850017194,,,World Update 2 - USA,,,,
Building,Biltmore Estate,,35.540769,-82.553069,2231.410741,,,World Update 2 - USA,,,,
Building,Bixby Creek Bridge,,36.371358,-121.9021,20.85706134,,,World Update 2 - USA,,,,
Building,Chesapeake Bay Bridge,,38.990533,-76.367858,-63.56344652,,,World Update 2 - USA,,,,
Building,Cliff Palace - Mesa Verde,,37.166867,-108.473011,6793.209103,,,World Update 2 - USA,,,,
Building,Coronado Heights Castle,,38.613331,-97.703372,1605.535944,,,World Update 2 - USA,,,,
Building,Crazy Horse Memorial,,43.836761,-103.623708,6357.088468,,,World Update 2 - USA,,,,
Building,Devils Tower,,44.590436,-104.714944,4778.953965,,,World Update 2 - USA,,,,
Building,Dworshak Dam,,46.514944,-116.295986,1488.792988,,,World Update 2 - USA,,,,
Building,Ellis County Courthouse,,32.385408,-96.847878,554.2910495,,,World Update 2 - USA,,,,
Building,Fort Jefferson,,24.628514,-82.873214,3.985737693,,,World Update 2 - USA,,,,
Building,Fort Knox,,37.883225,-85.965283,777.087249,,,World Update 2 - USA,,,,
Building,Fort McHenry,,39.263156,-76.579789,32.58981834,,,World Update 2 - USA,,,,
Building,Glen Canyon Dam,,36.937581,-111.484217,3564.204933,,,World Update 2 - USA,,,,
Building,Hoover Dam,,36.016267,-114.737244,1191.922824,,,World Update 2 - USA,,,,
Building,Johnson Space Center,,29.552,-95.097783,18.00321745,,,World Update 2 - USA,,,,
Building,Kennedy Space Center,,28.523969,-80.682239,6.809094821,,,World Update 2 - USA,,,,
Building,Las Vegas Strip,,36.117244,-115.173006,2103.999048,,,World Update 2 - USA,,,,
Building,Lewis and Clark Bridge,,46.104425,-122.962108,7.707648949,,,World Update 2 - USA,,,,
Building,Lowry Avenue Bridge,,45.013083,-93.274428,803.8058,,,World Update 2 - USA,,,,
Building,Mackinac Bridge,,45.815381,-84.727975,376.2475582,,,World Update 2 - USA,,,,
Building,Mauna Kea Observatory,,19.82395,-155.472253,13489.63182,,,World Update 2 - USA,,,,
Building,Mount Rushmore,,43.878758,-103.459122,5405.569174,,,World Update 2 - USA,,,,
Building,National Radio Astronomy Observatory,,19.801517,-155.455661,12225.39585,,,World Update 2 - USA,,,,
Building,Navajo Bridge,,36.817389,-111.631286,3083.064461,,,World Update 2 - USA,,,,
Building,New River Gorge Bridge,,38.068919,-81.082553,840.0468269,,,World Update 2 - USA,,,,
Building,Oroville Dam,,39.536464,-121.485172,665.8196349,,,World Update 2 - USA,,,,
Building,Pilgrim Monument,,42.052275,-70.188689,84.31419883,,,World Update 2 - USA,,,,
Building,Rainbow Bridge Niagara Falls,,43.090106,-79.067542,311.6798,,,World Update 2 - USA,,,,
Building,Sunshine Skyway Bridge,,27.620289,-82.655611,-47.07323748,,,World Update 2 - USA,,,,
Building,The Sault Ste. Marie International Bridge,,46.512942,-84.358622,590.6204353,,,World Update 2 - USA,,,,
Building,United States Capitol,,38.889806,-77.009128,69.91740198,,,World Update 2 - USA,,,,
Building,United States National Arboretum,,38.910244,-76.967539,79.23145873,,,World Update 2 - USA,,,,
Building,US Grant Bridge,,38.727628,-82.997292,492.8500416,,,World Update 2 - USA,,,,
Building,Washington Monument,,38.889461,-77.03525,40.56829923,,,World Update 2 - USA,,,,
Building,Wright Brothers National Memorial,,36.014319,-75.667961,93.38245916,,,World Update 2 - USA,,,,
Lighthouse,Alcatraz ,,37.826814,-122.423011,118.2370962,,,World Update 2 - USA,,,,
Mountain,Chimney Rock,,41.703794,-103.347725,4050.283086,,,World Update 2 - USA,,,,
Mountain,Half Dome,,37.744611,-119.534761,8743.818268,,,World Update 2 - USA,,,,
Mountain,Haystack Rock,,45.884392,-123.968314,256.9495056,,,World Update 2 - USA,,,,
Mountain,Monument Rocks National Natural,,38.793214,-100.763153,2645.202882,,,World Update 2 - USA,,,,
Mountain,Monument Valley,,37.02035,-110.092478,5870.56817,,,World Update 2 - USA,,,,
Mountain,Shiprock,,36.687825,-108.836442,7077.594493,,,World Update 2 - USA,,,,
Mountain,Yosemite El Capitan,,37.732725,-119.636378,7387.227773,,,World Update 2 - USA,,,,
POI,Airport Graveyard,,32.164997,-110.8722,2671.746767,,,World Update 2 - USA,,,,
